,Cluster_ID,Size,Representative,All_Features
184,453,1,FEDFUNDS_quintile_chg,FEDFUNDS_quintile_chg
183,442,1,GS10_regime_down,GS10_regime_down
182,445,1,GS10_regime_up,GS10_regime_up
181,441,1,GS10_quintile_chg,GS10_quintile_chg
179,497,1,PERMIT_Q4,PERMIT_Q4
178,499,1,PERMIT_Q3,PERMIT_Q3
177,500,1,PERMIT_Q2,PERMIT_Q2
173,496,1,HOUST_Q4,HOUST_Q4
172,464,1,HOUST_Q3,HOUST_Q3
171,498,1,HOUST_Q2,HOUST_Q2
200,391,1,AAA_10Y_Spread_regime_up,AAA_10Y_Spread_regime_up
203,660,1,VIXCLSx_regime_up,VIXCLSx_regime_up
266,233,1,IPDCONGD_zscore_3M,IPDCONGD_zscore_3M
204,36,1,UNRATE_quintile_chg,UNRATE_quintile_chg
245,149,1,CMRMTSPLx_zscore_3M,CMRMTSPLx_zscore_3M
237,126,1,W875RX1_zscore_3M,W875RX1_zscore_3M
232,125,1,RPI_zscore_3M,RPI_zscore_3M
230,135,1,ECT_consumption_income_chg_6M,ECT_consumption_income_chg_6M
229,134,1,ECT_consumption_income_chg_3M,ECT_consumption_income_chg_3M
228,145,1,ECT_consumption_income_chg_1M,ECT_consumption_income_chg_1M
227,136,1,ECT_consumption_income_zscore,ECT_consumption_income_zscore
222,520,1,DPCERA3M086SBEA_extreme_high,DPCERA3M086SBEA_extreme_high
221,287,1,PERMIT_regime_down,PERMIT_regime_down
220,286,1,PERMIT_regime_up,PERMIT_regime_up
219,285,1,PERMIT_quintile_chg,PERMIT_quintile_chg
218,458,1,INDPRO_regime_down,INDPRO_regime_down
217,459,1,INDPRO_regime_up,INDPRO_regime_up
216,457,1,INDPRO_quintile_chg,INDPRO_quintile_chg
215,461,1,M2REAL_regime_down,M2REAL_regime_down
214,462,1,M2REAL_regime_up,M2REAL_regime_up
213,460,1,M2REAL_quintile_chg,M2REAL_quintile_chg
212,290,1,HOUST_regime_down,HOUST_regime_down
211,289,1,HOUST_regime_up,HOUST_regime_up
210,288,1,HOUST_quintile_chg,HOUST_quintile_chg
209,652,1,UMCSENTx_regime_down,UMCSENTx_regime_down
208,651,1,UMCSENTx_regime_up,UMCSENTx_regime_up
207,650,1,UMCSENTx_quintile_chg,UMCSENTx_quintile_chg
206,37,1,UNRATE_regime_down,UNRATE_regime_down
205,38,1,UNRATE_regime_up,UNRATE_regime_up
169,513,1,UMCSENTx_Q4,UMCSENTx_Q4
168,515,1,UMCSENTx_Q3,UMCSENTx_Q3
167,516,1,UMCSENTx_Q2,UMCSENTx_Q2
164,466,1,UNRATE_Q4,UNRATE_Q4
112,130,1,Income_Per_Employee_chg_1M,Income_Per_Employee_chg_1M
111,168,1,IP_Per_Employee_chg_12M,IP_Per_Employee_chg_12M
110,167,1,IP_Per_Employee_chg_6M,IP_Per_Employee_chg_6M
109,166,1,IP_Per_Employee_chg_3M,IP_Per_Employee_chg_3M
108,357,1,Real_Fed_Funds_chg_1M,Real_Fed_Funds_chg_1M
99,510,1,BAA_AAA_Spread,BAA_AAA_Spread
63,523,1,T1YFFM,T1YFFM
61,524,1,COMPAPFFx,COMPAPFFx
57,418,1,CP3Mx,CP3Mx
56,399,1,FEDFUNDS,FEDFUNDS
54,122,1,CONSPI,CONSPI
47,598,1,M2REAL,M2REAL
43,76,1,BUSINVx,BUSINVx
42,98,1,AMDMUOx,AMDMUOx
32,704,1,USGOVT,USGOVT
31,488,1,USFIRE,USFIRE
30,487,1,USWTRADE,USWTRADE
28,484,1,NDMANEMP,NDMANEMP
27,260,1,USCONS,USCONS
26,85,1,CES1021000001,CES1021000001
22,22,1,UEMP27OV,UEMP27OV
16,60,1,UNRATE,UNRATE
13,44,1,HWIURATIO,HWIURATIO
12,43,1,HWI,HWI
8,227,1,IPBUSEQ,IPBUSEQ
113,133,1,Income_Per_Employee_chg_3M,Income_Per_Employee_chg_3M
114,131,1,Income_Per_Employee_chg_6M,Income_Per_Employee_chg_6M
115,132,1,Income_Per_Employee_chg_12M,Income_Per_Employee_chg_12M
145,480,1,GS5_Q3,GS5_Q3
163,467,1,UNRATE_Q3,UNRATE_Q3
162,465,1,UNRATE_Q2,UNRATE_Q2
159,472,1,VIXCLSx_Q4,VIXCLSx_Q4
158,471,1,VIXCLSx_Q3,VIXCLSx_Q3
157,473,1,VIXCLSx_Q2,VIXCLSx_Q2
154,537,1,AAA_10Y_Spread_Q4,AAA_10Y_Spread_Q4
153,536,1,AAA_10Y_Spread_Q3,AAA_10Y_Spread_Q3
152,518,1,AAA_10Y_Spread_Q2,AAA_10Y_Spread_Q2
149,478,1,BAA_10Y_Spread_Q4,BAA_10Y_Spread_Q4
148,535,1,BAA_10Y_Spread_Q3,BAA_10Y_Spread_Q3
147,538,1,BAA_10Y_Spread_Q2,BAA_10Y_Spread_Q2
144,504,1,GS1_Q4,GS1_Q4
116,477,1,BAA_AAA_Spread_chg_1M,BAA_AAA_Spread_chg_1M
143,482,1,GS1_Q3,GS1_Q3
142,508,1,GS1_Q2,GS1_Q2
141,503,1,TB3MS_Q4,TB3MS_Q4
140,507,1,TB3MS_Q2,TB3MS_Q2
138,502,1,FEDFUNDS_Q4,FEDFUNDS_Q4
136,506,1,FEDFUNDS_Q2,FEDFUNDS_Q2
133,479,1,GS10_Q3,GS10_Q3
128,364,1,TED_Spread_Proxy_chg_1M,TED_Spread_Proxy_chg_1M
119,476,1,BAA_AAA_Spread_chg_12M,BAA_AAA_Spread_chg_12M
118,475,1,BAA_AAA_Spread_chg_6M,BAA_AAA_Spread_chg_6M
117,474,1,BAA_AAA_Spread_chg_3M,BAA_AAA_Spread_chg_3M
253,237,1,INDPRO_zscore_3M,INDPRO_zscore_3M
273,226,1,IPBUSEQ_zscore_3M,IPBUSEQ_zscore_3M
511,89,1,ANDENOx_chg_6M,ANDENOx_chg_6M
465,329,1,HOUSTW_zscore_3M,HOUSTW_zscore_3M
463,327,1,HOUSTW_chg_3M,HOUSTW_chg_3M
461,340,1,HOUSTS_zscore_3M,HOUSTS_zscore_3M
460,281,1,HOUSTS_accel_3M,HOUSTS_accel_3M
459,338,1,HOUSTS_chg_3M,HOUSTS_chg_3M
458,323,1,HOUSTMW_accel_12M,HOUSTMW_accel_12M
457,322,1,HOUSTMW_chg_12M,HOUSTMW_chg_12M
455,310,1,HOUSTMW_accel_6M,HOUSTMW_accel_6M
454,309,1,HOUSTMW_chg_6M,HOUSTMW_chg_6M
453,313,1,HOUSTMW_zscore_3M,HOUSTMW_zscore_3M
451,294,1,HOUSTNE_accel_12M,HOUSTNE_accel_12M
450,293,1,HOUSTNE_chg_12M,HOUSTNE_chg_12M
448,292,1,HOUSTNE_accel_6M,HOUSTNE_accel_6M
447,291,1,HOUSTNE_chg_6M,HOUSTNE_chg_6M
446,297,1,HOUSTNE_zscore_3M,HOUSTNE_zscore_3M
439,339,1,HOUST_zscore_3M,HOUST_zscore_3M
438,280,1,HOUST_accel_3M,HOUST_accel_3M
437,336,1,HOUST_chg_3M,HOUST_chg_3M
435,154,1,AWHMAN_accel_3M,AWHMAN_accel_3M
425,153,1,CES0600000007_accel_3M,CES0600000007_accel_3M
420,703,1,USGOVT_zscore_3M,USGOVT_zscore_3M
418,62,1,USFIRE_accel_12M,USFIRE_accel_12M
417,61,1,USFIRE_chg_12M,USFIRE_chg_12M
415,66,1,USFIRE_accel_6M,USFIRE_accel_6M
414,65,1,USFIRE_chg_6M,USFIRE_chg_6M
413,68,1,USFIRE_zscore_3M,USFIRE_zscore_3M
464,278,1,HOUSTW_accel_3M,HOUSTW_accel_3M
466,328,1,HOUSTW_chg_6M,HOUSTW_chg_6M
274,205,1,IPBUSEQ_chg_6M,IPBUSEQ_chg_6M
467,302,1,HOUSTW_accel_6M,HOUSTW_accel_6M
504,591,1,ACOGNO_zscore_3M,ACOGNO_zscore_3M
502,320,1,PERMITW_accel_12M,PERMITW_accel_12M
501,300,1,PERMITW_accel_6M,PERMITW_accel_6M
500,342,1,PERMITW_chg_6M,PERMITW_chg_6M
499,343,1,PERMITW_zscore_3M,PERMITW_zscore_3M
498,279,1,PERMITW_accel_3M,PERMITW_accel_3M
495,349,1,PERMITS_zscore_3M,PERMITS_zscore_3M
494,283,1,PERMITS_accel_3M,PERMITS_accel_3M
493,325,1,PERMITMW_accel_12M,PERMITMW_accel_12M
492,324,1,PERMITMW_chg_12M,PERMITMW_chg_12M
490,301,1,PERMITMW_accel_6M,PERMITMW_accel_6M
489,332,1,PERMITMW_chg_6M,PERMITMW_chg_6M
488,333,1,PERMITMW_zscore_3M,PERMITMW_zscore_3M
487,284,1,PERMITMW_accel_3M,PERMITMW_accel_3M
486,331,1,PERMITMW_chg_3M,PERMITMW_chg_3M
485,315,1,PERMITNE_accel_12M,PERMITNE_accel_12M
484,314,1,PERMITNE_chg_12M,PERMITNE_chg_12M
482,304,1,PERMITNE_accel_6M,PERMITNE_accel_6M
481,303,1,PERMITNE_chg_6M,PERMITNE_chg_6M
480,308,1,PERMITNE_zscore_3M,PERMITNE_zscore_3M
479,306,1,PERMITNE_accel_3M,PERMITNE_accel_3M
478,305,1,PERMITNE_chg_3M,PERMITNE_chg_3M
473,348,1,PERMIT_zscore_3M,PERMIT_zscore_3M
472,282,1,PERMIT_accel_3M,PERMIT_accel_3M
470,321,1,HOUSTW_accel_12M,HOUSTW_accel_12M
412,64,1,USFIRE_accel_3M,USFIRE_accel_3M
411,63,1,USFIRE_chg_3M,USFIRE_chg_3M
409,277,1,USTRADE_zscore_3M,USTRADE_zscore_3M
408,186,1,USWTRADE_accel_12M,USWTRADE_accel_12M
357,249,1,USGOOD_zscore_3M,USGOOD_zscore_3M
356,245,1,USGOOD_accel_3M,USGOOD_accel_3M
355,244,1,USGOOD_chg_3M,USGOOD_chg_3M
349,272,1,PAYEMS_zscore_3M,PAYEMS_zscore_3M
344,163,1,CLAIMSx_zscore_3M,CLAIMSx_zscore_3M
341,14,1,UEMP27OV_accel_6M,UEMP27OV_accel_6M
340,13,1,UEMP27OV_chg_6M,UEMP27OV_chg_6M
335,8,1,UEMP15T26_zscore_3M,UEMP15T26_zscore_3M
331,10,1,UEMP15OV_zscore_3M,UEMP15OV_zscore_3M
322,12,1,UEMPMEAN_accel_6M,UEMPMEAN_accel_6M
321,11,1,UEMPMEAN_chg_6M,UEMPMEAN_chg_6M
320,19,1,UEMPMEAN_zscore_3M,UEMPMEAN_zscore_3M
317,53,1,UNRATE_accel_6M,UNRATE_accel_6M
316,52,1,UNRATE_chg_6M,UNRATE_chg_6M
311,31,1,CE16OV_zscore_3M,CE16OV_zscore_3M
306,50,1,HWIURATIO_accel_12M,HWIURATIO_accel_12M
305,49,1,HWIURATIO_chg_12M,HWIURATIO_chg_12M
301,48,1,HWI_accel_12M,HWI_accel_12M
300,47,1,HWI_chg_12M,HWI_chg_12M
287,217,1,IPNMAT_zscore_3M,IPNMAT_zscore_3M
284,229,1,IPDMAT_zscore_3M,IPDMAT_zscore_3M
281,208,1,IPMAT_accel_6M,IPMAT_accel_6M
280,210,1,IPMAT_chg_6M,IPMAT_chg_6M
279,231,1,IPMAT_zscore_3M,IPMAT_zscore_3M
275,206,1,IPBUSEQ_accel_6M,IPBUSEQ_accel_6M
358,201,1,USGOOD_chg_6M,USGOOD_chg_6M
359,203,1,USGOOD_accel_6M,USGOOD_accel_6M
363,81,1,CES1021000001_chg_3M,CES1021000001_chg_3M
386,241,1,NDMANEMP_accel_3M,NDMANEMP_accel_3M
407,185,1,USWTRADE_chg_12M,USWTRADE_chg_12M
405,262,1,USWTRADE_accel_6M,USWTRADE_accel_6M
404,261,1,USWTRADE_chg_6M,USWTRADE_chg_6M
403,266,1,USWTRADE_zscore_3M,USWTRADE_zscore_3M
402,264,1,USWTRADE_accel_3M,USWTRADE_accel_3M
401,263,1,USWTRADE_chg_3M,USWTRADE_chg_3M
395,276,1,USTPU_zscore_3M,USTPU_zscore_3M
392,273,1,SRVPRD_zscore_3M,SRVPRD_zscore_3M
389,199,1,NDMANEMP_accel_6M,NDMANEMP_accel_6M
388,198,1,NDMANEMP_chg_6M,NDMANEMP_chg_6M
387,243,1,NDMANEMP_zscore_3M,NDMANEMP_zscore_3M
385,240,1,NDMANEMP_chg_3M,NDMANEMP_chg_3M
364,82,1,CES1021000001_accel_3M,CES1021000001_accel_3M
378,257,1,USCONS_accel_12M,USCONS_accel_12M
377,256,1,USCONS_chg_12M,USCONS_chg_12M
375,253,1,USCONS_accel_6M,USCONS_accel_6M
374,252,1,USCONS_chg_6M,USCONS_chg_6M
373,259,1,USCONS_zscore_3M,USCONS_zscore_3M
371,254,1,USCONS_chg_3M,USCONS_chg_3M
370,80,1,CES1021000001_accel_12M,CES1021000001_accel_12M
369,79,1,CES1021000001_chg_12M,CES1021000001_chg_12M
367,78,1,CES1021000001_accel_6M,CES1021000001_accel_6M
366,77,1,CES1021000001_chg_6M,CES1021000001_chg_6M
365,84,1,CES1021000001_zscore_3M,CES1021000001_zscore_3M
743,662,1,VIXCLSx_accel_12M,VIXCLSx_accel_12M
